customer_id,tenure,age,num_products,has_partner,has_dependents,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00000,52,60,1,0,0,One year,No,0,0,1,Electronic check,25.42,1346.31,0
C00001,15,23,2,1,0,Two year,Fiber optic,1,0,0,Electronic check,54.13,754.53,0
C00002,72,64,1,0,1,One year,Fiber optic,0,0,0,Bank transfer,43.13,3126.8,0
C00003,61,22,3,1,1,One year,Fiber optic,0,0,1,Electronic check,47.9,2996.06,0
C00004,21,60,3,0,0,Month-to-month,Fiber optic,0,0,1,Electronic check,42.81,928.68,0
C00005,24,42,3,1,1,Month-to-month,Fiber optic,1,1,0,Mailed check,56.38,1330.93,0
C00006,3,35,1,0,0,Month-to-month,DSL,1,0,0,Bank transfer,45.83,195.79,1
C00007,22,30,3,0,0,Two year,DSL,1,0,1,Credit card,44.72,1099.99,0
C00008,53,60,2,0,1,One year,No,1,1,0,Mailed check,45.47,2422.36,0
C00009,2,31,1,1,0,Month-to-month,No,1,0,1,Credit card,38.6,44.4,0
C00010,30,45,1,1,0,Month-to-month,DSL,1,0,1,Electronic check,43.17,1298.94,0
C00011,38,35,1,0,1,Month-to-month,No,0,0,1,Mailed check,34.76,1260.04,0
C00012,2,74,1,0,1,One year,DSL,0,0,1,Electronic check,39.3,135.27,0
C00013,64,45,2,0,0,Month-to-month,Fiber optic,0,1,1,Bank transfer,51.6,3317.76,0
C00014,60,68,4,1,1,One year,DSL,1,0,1,Credit card,38.82,2302.85,0
C00015,21,73,1,0,0,Month-to-month,No,1,0,0,Electronic check,42.31,914.57,0
C00016,33,44,2,1,0,Month-to-month,No,0,0,1,Bank transfer,36.38,1175.73,0
C00017,58,49,4,0,0,Two year,Fiber optic,0,1,0,Credit card,53.99,3121.7,0
C00018,22,64,1,1,0,Month-to-month,Fiber optic,0,0,1,Bank transfer,49.58,1090.85,1
C00019,49,26,3,1,0,Two year,Fiber optic,1,0,0,Electronic check,53.83,2728.04,0
C00020,59,57,2,1,0,Month-to-month,Fiber optic,0,1,0,Electronic check,45.47,2626.39,0
C00021,42,49,2,0,0,Month-to-month,DSL,1,0,1,Electronic check,44.45,1905.73,0
C00022,60,37,1,1,0,Month-to-month,Fiber optic,0,1,1,Electronic check,44.29,2622.22,0
C00023,15,45,2,0,0,One year,Fiber optic,1,0,0,Bank transfer,49.1,824.72,0
C00024,62,50,1,1,0,One year,Fiber optic,1,0,1,Mailed check,54.93,3359.82,0
C00025,62,21,2,0,1,Month-to-month,DSL,1,0,1,Bank transfer,49.06,2997.04,0
C00026,47,63,1,1,0,Month-to-month,Fiber optic,0,0,1,Mailed check,41.63,1995.0,1
C00027,62,74,3,1,0,One year,Fiber optic,1,0,1,Electronic check,54.19,3359.85,0
C00028,51,51,1,0,0,Month-to-month,No,0,1,0,Bank transfer,34.64,1807.48,0
C00029,55,65,1,0,1,Month-to-month,DSL,1,0,0,Bank transfer,44.18,2490.94,0
C00030,64,20,2,1,0,Month-to-month,Fiber optic,0,1,1,Electronic check,56.64,3634.51,1
C00031,3,43,1,1,0,One year,Fiber optic,0,0,1,Credit card,53.85,212.53,1
C00032,51,25,2,0,0,Month-to-month,DSL,1,1,1,Electronic check,50.22,2464.01,0
C00033,7,23,4,1,0,Month-to-month,Fiber optic,0,1,1,Bank transfer,62.69,457.12,1
C00034,21,33,2,1,0,Month-to-month,DSL,1,0,0,Electronic check,43.91,912.35,1
C00035,39,41,1,0,0,Month-to-month,DSL,0,0,1,Mailed check,34.92,1437.28,0
C00036,18,65,2,0,1,Month-to-month,Fiber optic,0,1,0,Credit card,64.06,1044.42,1
C00037,4,56,2,0,0,Two year,Fiber optic,1,0,1,Credit card,67.22,232.37,0
C00038,60,47,3,1,1,Month-to-month,No,1,1,0,Electronic check,42.99,2513.66,0
C00039,14,62,1,1,1,Month-to-month,Fiber optic,0,1,1,Credit card,43.6,621.14,0
C00040,9,30,1,1,1,Month-to-month,Fiber optic,0,0,0,Electronic check,51.32,474.53,1
C00041,53,22,2,0,1,Two year,DSL,0,1,1,Credit card,41.53,2202.97,0
C00042,2,42,1,1,1,Month-to-month,DSL,0,0,1,Bank transfer,47.43,135.0,1
C00043,60,37,1,0,0,Two year,No,0,0,0,Mailed check,29.94,1851.6,0
C00044,71,71,1,0,0,Month-to-month,Fiber optic,0,0,1,Credit card,46.6,3326.8,0
C00045,44,35,3,1,0,Month-to-month,DSL,1,0,1,Mailed check,46.7,1988.18,0
C00046,8,64,3,0,1,Month-to-month,Fiber optic,0,0,1,Electronic check,56.45,423.82,1
